,precision,recall,f1-score,support
ARP_poisioning,0.9418604651162791,0.9406451612903226,0.9412524209167205,1550.0
DDOS_Slowloris,0.813953488372093,0.9813084112149533,0.8898305084745762,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,0.9987893462469734,0.9951749095295537,0.9969788519637462,829.0
Metasploit_Brute_Force_SSH,0.12244897959183673,0.8571428571428571,0.21428571428571427,7.0
NMAP_FIN_SCAN,0.8,0.6666666666666666,0.7272727272727273,6.0
NMAP_OS_DETECTION,0.9925558312655087,1.0,0.9962640099626401,400.0
NMAP_TCP_scan,0.9345794392523364,1.0,0.966183574879227,200.0
NMAP_UDP_SCAN,0.991869918699187,0.9420849420849421,0.9663366336633663,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.9800899165061014,0.9408138101109741,0.9600503302925448,1622.0
Wipro_bulb,0.6666666666666666,0.9019607843137255,0.7666666666666667,51.0
accuracy,0.9904970760233918,0.9904970760233918,0.9904970760233918,0.9904970760233918
macro avg,0.8535678376430819,0.9350685348313239,0.8685523060659911,24624.0
weighted avg,0.9923677281472416,0.9904970760233918,0.9912327834079242,24624.0
